"input" "reason" "matches" "primaryIdentifier" "symbol" "source" "name" "class" "secondaryIdentifier" "organism.shortName"
"mt:ND4" "MATCH" "1" "FBgn0262952" "mt:ND4" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 4" "Gene" "CG34085" "D. melanogaster"
"TBCB" "MATCH" "1" "FBgn0034451" "TBCB" "FlyBase" "tubulin-binding cofactor B" "Gene" "CG11242" "D. melanogaster"
"mt:ND3" "MATCH" "1" "FBgn0013681" "mt:ND3" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 3" "Gene" "CG34076" "D. melanogaster"
"mt:ND2" "MATCH" "1" "FBgn0013680" "mt:ND2" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 2" "Gene" "CG34063" "D. melanogaster"
"mt:ND1" "MATCH" "1" "FBgn0013679" "mt:ND1" "FlyBase" "mitochondrial NADH-ubiquinone oxidoreductase chain 1" "Gene" "CG34092" "D. melanogaster"
"dsx-c73A" "MATCH" "1" "FBgn0261799" "dsx-c73A" "FlyBase" "doublesex cognate 73A" "Gene" "CG32159" "D. melanogaster"
"mt:CoI" "MATCH" "1" "FBgn0013674" "mt:CoI" "FlyBase" "mitochondrial Cytochrome c oxidase subunit I" "Gene" "CG34067" "D. melanogaster"
"mt:CoII" "MATCH" "1" "FBgn0013675" "mt:CoII" "FlyBase" "mitochondrial Cytochrome c oxidase subunit II" "Gene" "CG34069" "D. melanogaster"
"AP-1mu" "MATCH" "1" "FBgn0024833" "AP-1mu" "FlyBase" "Adaptor Protein complex 1, mu subunit" "Gene" "CG9388" "D. melanogaster"
"Etf-QO" "MATCH" "1" "FBgn0033465" "Etf-QO" "FlyBase" "Electron transfer flavoprotein-ubiquinone oxidoreductase" "Gene" "CG12140" "D. melanogaster"
"Uch-L5" "MATCH" "1" "FBgn0011327" "Uch-L5" "FlyBase" "Ubiquitin carboxy-terminal hydrolase L5 ortholog" "Gene" "CG3431" "D. melanogaster"
"Not3" "MATCH" "1" "FBgn0033029" "Not3" "FlyBase" "" "Gene" "CG8426" "D. melanogaster"
"RAF2" "MATCH" "1" "FBgn0036624" "RAF2" "FlyBase" "RING-associated factor 2" "Gene" "CG4877" "D. melanogaster"
"CR40469" "MATCH" "1" "FBgn0058469" "CR40469" "FlyBase" "" "Gene" "CR40469" "D. melanogaster"
"Xpc" "TYPE_CONVERTED" "3" "FBgn0004698" "mus210" "FlyBase" "mutagen-sensitive 210" "Gene" "CG8153" "D. melanogaster"
"Xpc" "TYPE_CONVERTED" "3" "FBgn0004698" "mus210" "FlyBase" "mutagen-sensitive 210" "Gene" "CG8153" "D. melanogaster"
"Xpc" "TYPE_CONVERTED" "3" "FBgn0004698" "mus210" "FlyBase" "mutagen-sensitive 210" "Gene" "CG8153" "D. melanogaster"
"Ask1" "OTHER" "1" "FBgn0014006" "Pk92B" "FlyBase" "Protein kinase at 92B" "Gene" "CG4720" "D. melanogaster"
"THG" "OTHER" "1" "FBgn0001142" "Gs1" "FlyBase" "Glutamine synthetase 1" "Gene" "CG2718" "D. melanogaster"
"ValRS" "OTHER" "1" "FBgn0027079" "Aats-val" "FlyBase" "Valyl-tRNA synthetase" "Gene" "CG4062" "D. melanogaster"
"Stt3B" "UNRESOLVED" ""
"Vps52" "UNRESOLVED" ""
"PIG-O" "UNRESOLVED" ""
"ND-39" "UNRESOLVED" ""
"CR45330" "UNRESOLVED" ""
"MRE16" "UNRESOLVED" ""
"FASN1" "UNRESOLVED" ""
"Sema5c" "UNRESOLVED" ""
"Pdxk" "UNRESOLVED" ""
"DCTN4-p62" "UNRESOLVED" ""
"mino" "UNRESOLVED" ""
"wake" "UNRESOLVED" ""
"Epg5" "UNRESOLVED" ""
"AOX3" "UNRESOLVED" ""
"PIG-A" "UNRESOLVED" ""
