chromosome,start,stop
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21433844,21434337
chr2L,21483226,21483719
chr2L,21488377,21488870
chr2L,21493422,21493915
chr2L,21498467,21498960
chr2L,21503520,21504013
chr2L,21508565,21509058
chr2L,21513609,21514102
chr2L,21533183,21533676
chr2L,21538227,21538720
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,9967329,9968491
chr2L,21616670,21618774
chr2L,21614231,21618774
chr2L,10477072,10482975
chr2L,10477072,10482975
chr2L,20079269,20080196
chr2L,20081605,20085070
chr2L,16680569,16681653
chr2L,2856110,2857029
chr2L,6671064,6673347
chr2L,7825628,7827246
chr2L,7825346,7827246
chr2L,9967329,9968645
chr2L,10342701,10344223
chr2L,10408351,10409604
chr2L,10420624,10422780
chr2L,10477072,10482975
chr2L,16680053,16681653
chr2L,20079269,20085070
chr2L,20643350,20645457
chr2L,20643350,20645457
chr2L,2575279,2576678
chr2L,2977121,2978398
chr2L,6559425,6561660
chr2L,7825628,7827315
chr2L,9952071,9954181
chr2L,11002757,11004153
chr2L,21614765,21624080
chr2L,9700809,9708883
chr2L,11002839,11004189
chr2L,20643350,20645791
chr2L,7825628,7827246
chr2L,10408351,10409610
chr2L,10342593,10344223
chr2L,2856069,2856705
chr2L,9967312,9968491
chr2L,10420710,10422780
chr2L,20082303,20085070
chr2L,2575279,2576997
chr2L,2974858,2976862
chr2L,2977121,2978500
chr2L,6560130,6562289
chr2L,9708920,9711271
chr2L,9952427,9954181
chr2L,10477072,10482975
chr2L,13283911,13286462
chr2L,13793520,13799674
chr2L,16303263,16305940
chr2L,16816659,16826964
chr2L,19432573,19435841
chr2L,21614765,21618774
chr2L,6671778,6673347
chr2L,2856110,2856705
chr2L,2856110,2857029
chr2L,2856110,2856705
chr2L,2974858,2976862
chr2L,8400420,8401592
chr2L,11002839,11004153
chr2L,12100764,12103285
chr2L,16816659,16826964
chr2L,16816659,16826964
chr2L,20643350,20645791
chr2L,21423736,21424229
chr2L,21452933,21453426
chr2L,21457994,21458487
chr2L,21463054,21463547
chr2L,21468097,21468590
chr2L,21473140,21473633
chr2L,21478183,21478676
chr2L,21419530,21419943
chr2L,21424592,21425005
chr2L,21434702,21435115
chr2L,21439588,21440001
chr2L,21453789,21454202
chr2L,21484084,21484497
chr2L,21489233,21489646
chr2L,21494278,21494691
chr2L,21499323,21499736
chr2L,21519510,21519923
chr2L,21420128,21420657
chr2L,21425192,21425721
chr2L,21430254,21430783
chr2L,21435298,21435827
chr2L,21440186,21440715
chr2L,21454387,21454916
chr2L,21484680,21485209
chr2L,21489829,21490358
chr2L,21494874,21495403
chr2L,21499919,21500448
chr2L,21614765,21623627
chr2L,21614765,21618774
chr2L,6560130,6561660
chr2L,16680053,16681653
chr2L,16817107,16826964
chr2L,901490,901654
chr2L,901490,901654
chr2L,901490,901654
chr2R,24903415,24903935
chr2R,11380448,11384114
chr2R,11380346,11384114
chr2R,11641476,11646229
chr2R,11642267,11648514
chr2R,11642267,11651616
chr2R,7494011,7496347
chr2R,12338299,12339544
chr2R,22932034,22934077
chr2R,6680145,6692590
chr2R,24939705,24940483
chr2R,7447472,7449995
chr2R,7494011,7496347
chr2R,8170273,8172401
chr2R,9424086,9426107
chr2R,11642267,11651616
chr2R,11642267,11651616
chr2R,11641476,11651616
chr2R,18093722,18094900
chr2R,21075664,21088226
chr2R,9396264,9398734
chr2R,9414341,9417846
chr2R,10836569,10838727
chr2R,12511533,12514398
chr2R,21290913,21292181
chr2R,22412555,22415518
chr2R,22413146,22415518
chr2R,23555105,23556217
chr2R,24939705,24940380
chr2R,11380448,11384114
chr2R,13202727,13206547
chr2R,8170273,8172401
chr2R,24061852,24062431
chr2R,17546405,17547462
chr2R,17573461,17574735
chr2R,22412916,22415518
chr2R,23870272,23877442
chr2R,17394592,17405171
chr2R,21076452,21088226
chr2R,9414341,9417846
chr2R,17628490,17633516
chr2R,6675821,6693162
chr2R,7447472,7449415
chr2R,7493805,7496466
chr2R,9396359,9398734
chr2R,9424086,9426107
chr2R,10310112,10311143
chr2R,10837008,10838727
chr2R,11381324,11384114
chr2R,11642267,11645913
chr2R,12337796,12339544
chr2R,17001993,17003599
chr2R,17695775,17698362
chr2R,18093722,18094736
chr2R,18833371,18834775
chr2R,20662473,20667306
chr2R,21290913,21292181
chr2R,21383226,21384391
chr2R,22492196,22494295
chr2R,22932034,22933523
chr2R,23555017,23556217
chr2R,24939705,24940483
chr2R,6675821,6692590
chr2R,10307029,10309794
chr2R,11381324,11384114
chr2R,12511533,12515062
chr2R,12511533,12515062
chr2R,13202727,13205337
chr2R,17573461,17574979
chr2R,20662473,20665639
chr2R,21076839,21088226
chr2R,21074017,21088945
chr2R,21080607,21088226
chr2R,21084334,21088226
chr2R,21080607,21088226
chr2R,12589238,12590705
chr2R,12589238,12591395
chr2R,12589766,12590705
chr3L,9430311,9438711
chr3L,9430311,9438711
chr3L,9435535,9438704
chr3L,9456317,9459370
chr3L,184625,186310
chr3L,184625,186310
chr3L,184625,186310
chr3L,9407716,9410832
chr3L,9406178,9410832
chr3L,16588556,16590132
chr3L,1534928,1536835
chr3L,5810972,5812228
chr3L,5810972,5812228
chr3L,9966602,9968317
chr3L,11073291,11074388
chr3L,9430311,9439490
chr3L,9430311,9438711
chr3L,184625,186296
chr3L,1667191,1668654
chr3L,17891819,17895862
chr3L,21280490,21281506
chr3L,20396287,20401609
chr3L,16588474,16590132
chr3L,677878,680326
chr3L,1535011,1536835
chr3L,2252743,2257423
chr3L,3055078,3055842
chr3L,3941007,3942465
chr3L,5559469,5561598
chr3L,5810972,5812228
chr3L,7912462,7913763
chr3L,8304156,8305325
chr3L,9408190,9410832
chr3L,9430311,9438711
chr3L,9457911,9459370
chr3L,9967207,9968317
chr3L,15608706,15610386
chr3L,18997874,19000608
chr3L,21728931,21729694
chr3L,184625,186310
chr3L,184625,186310
chr3L,677878,680326
chr3L,677878,680326
chr3L,2252752,2256812
chr3L,2252743,2256010
chr3L,9430311,9438711
chr3L,11073465,11074388
chr3L,13023351,13024762
chr3L,17891819,17895862
chr3L,19834669,19836413
chr3L,17427304,17428836
chr3L,2252743,2257423
chr3L,3893055,3893330
chr3R,13695262,13700838
chr3R,13695262,13700838
chr3R,13695262,13698569
chr3R,10000505,10001276
chr3R,23049656,23054082
chr3R,24918105,24922385
chr3R,9999770,10001276
chr3R,23049656,23051230
chr3R,26187306,26188807
chr3R,27277248,27282661
chr3R,27277248,27281030
chr3R,27277248,27280711
chr3R,27277248,27280429
chr3R,27277248,27280711
chr3R,8803470,8805802
chr3R,13695262,13700838
chr3R,13695262,13699545
chr3R,13695262,13699545
chr3R,13695262,13699545
chr3R,14568080,14568847
chr3R,24918497,24922385
chr3R,24918497,24922385
chr3R,9400368,9401020
chr3R,9400368,9401226
chr3R,13948419,13949742
chr3R,19643017,19644386
chr3R,20850515,20851427
chr3R,21116253,21117899
chr3R,19643257,19644386
chr3R,19903664,19904868
chr3R,22582027,22583225
chr3R,7244231,7246969
chr3R,8803470,8805599
chr3R,9400368,9401202
chr3R,9999770,10001276
chr3R,10856806,10858066
chr3R,11430739,11431582
chr3R,13695262,13699545
chr3R,14567610,14568847
chr3R,15275521,15276474
chr3R,20850596,20851427
chr3R,24918105,24922385
chr3R,26187017,26188807
chr3R,27277248,27281847
chr3R,27679290,27680336
chr3R,29049492,29050721
chr3R,30206529,30208948
chr3R,31213457,31214784
chr3R,31588672,31590392
chr3R,31594791,31596204
chr3R,9400236,9401226
chr3R,10708486,10709364
chr3R,13695262,13700838
chr3R,13948419,13949330
chr3R,17070522,17072675
chr3R,20850833,20851427
chr3R,27927356,27928174
chr3R,30206529,30208942
chr3R,30206446,30208694
chr3R,31594791,31596204
chr3R,23049656,23054082
chr3R,23049656,23053505
chr3R,30206529,30209020
chr3R,23827869,23828033
chr3R,23859466,23859630
chr3R,23826333,23826497
chr3R,23827869,23828033
chr3R,23859466,23859630
chr3R,23827869,23828033
chr3R,23859466,23859630
